waktu,username,text
2022-08-11 15:01:44+00:00,Papi Odin ❤🇵🇰 from 🇮🇩,"b'RT @TheEagle_BEN: TEPAT PUKUL 01.00.\nSEBELUM TIDUR,\nAKU MAU NULIS\xe2\x9c\x8d\xef\xb8\x8f.\nKALO BUNG KARNO BILANG:\nBERIKAN AKU 10 PEMUDA,MAKA AKAN KU GUNCANG DUN\xe2\x80\xa6'"
2022-08-11 10:37:22+00:00,maba undip²³,b'RT @sbmptnfess: Manifesting ptn!\n\n                \xf0\x9f\x95\xaf        \xf0\x9f\x95\xaf\n      \xf0\x9f\x95\xaf      dijauhkan      \xf0\x9f\x95\xaf\n         dr gaya ospek kuno \n  \xf0\x9f\x95\xaf      yg bentak2\xe2\x80\xa6'
2022-08-11 00:53:48+00:00,Atlet overthinking,"b'RT @ApaansiRen: Kasus senioritas kaya di untirta ini udah biasa dikalangan maba apalagi soal gender violence, cuma bedanya ga terekspose aj\xe2\x80\xa6'"
2022-08-10 08:28:26+00:00,Move.it👾,"b'@livingnearby ""angel wes"" wkwkkwkw\nMergo komunikasi sing tk alami cm searah, lawan bicara e udh pasang tameng duluan, mental kabeh'"
2022-08-10 08:27:26+00:00,Airbag119,"b'@worksfess Work it banget, dulu aku ikut rias penganten karena acara full apalagi tempatnya desa gak ditinggal.\nBer\xe2\x80\xa6 https://t.co/m0TXhpwqDt'"
2022-08-10 06:09:00+00:00,from skw to sjw kadang stw,b'RT @dhanyramadha: 00.24 WIB : Nyolar dulu gatau dimana ini karena sempet merem ketiduran soale kursi Rimba Kencana + selonjoran + selimutan\xe2\x80\xa6'
2022-08-09 22:54:49+00:00,-,"b'RT @TheEagle_BEN: TEPAT PUKUL 01.00.\nSEBELUM TIDUR,\nAKU MAU NULIS\xe2\x9c\x8d\xef\xb8\x8f.\nKALO BUNG KARNO BILANG:\nBERIKAN AKU 10 PEMUDA,MAKA AKAN KU GUNCANG DUN\xe2\x80\xa6'"
2022-08-09 17:46:01+00:00,abnormal,b'RT @EnvioASMR: Cie kesepian ya makanya nonton asmr wkw.\n\nBtw aku ada upload video baru jam 20.00 WIB.\n\nKalo habis nonton asmr masih kesepia\xe2\x80\xa6'
2022-08-09 15:30:22+00:00,𝐦𝐞𝐧𝐞𝐦𝐩𝐞𝐥𝐤𝐚𝐧,"b'Mental yang lemah lebih parah dari fisik yang lemah.\n\nFollow untuk kata bijak, motivasi, dan quotes lain. Produk di\xe2\x80\xa6 https://t.co/eyeAGbXqaj'"
2022-08-09 13:33:18+00:00,Aldie Blur,b'Bonek Bergerak menolak sepak bola kemalaman setidaknya KO maksimal pukul 19.00 golongane sarimi isi 2 koar2 ... Wes\xe2\x80\xa6 https://t.co/cdDhnPEGe5'
2022-08-09 10:51:31+00:00,shafira ◡̈,"b'RT @dokyeomsoul: serba-serbi ticketing BETS JKT :\n\xe2\x80\xa2 ngebot\n\xe2\x80\xa2 kode presale tiba"" keredeem\n\xe2\x80\xa2 identitas berubah nama org ga dikenal\n\xe2\x80\xa2 website\xe2\x80\xa6'"
2022-08-09 08:14:37+00:00,aya ❀,"b'Di hari H tanggal 8 kemarin, jam 9 pagi gue udah bangun. Nyalain laptop aja, siap2in mental sama badan wkwkw isi pe\xe2\x80\xa6 https://t.co/VSVppUE6Af'"
2022-08-09 06:10:46+00:00,Zering,"b'RT @TheEagle_BEN: TEPAT PUKUL 01.00.\nSEBELUM TIDUR,\nAKU MAU NULIS\xe2\x9c\x8d\xef\xb8\x8f.\nKALO BUNG KARNO BILANG:\nBERIKAN AKU 10 PEMUDA,MAKA AKAN KU GUNCANG DUN\xe2\x80\xa6'"
2022-08-09 04:31:06+00:00,Ardyyy73,"b'RT @TheEagle_BEN: TEPAT PUKUL 01.00.\nSEBELUM TIDUR,\nAKU MAU NULIS\xe2\x9c\x8d\xef\xb8\x8f.\nKALO BUNG KARNO BILANG:\nBERIKAN AKU 10 PEMUDA,MAKA AKAN KU GUNCANG DUN\xe2\x80\xa6'"
2022-08-09 03:00:29+00:00,Sambalterasi,"b'RT @TheEagle_BEN: TEPAT PUKUL 01.00.\nSEBELUM TIDUR,\nAKU MAU NULIS\xe2\x9c\x8d\xef\xb8\x8f.\nKALO BUNG KARNO BILANG:\nBERIKAN AKU 10 PEMUDA,MAKA AKAN KU GUNCANG DUN\xe2\x80\xa6'"
2022-08-09 02:29:08+00:00,Kelana,"b'RT @TheEagle_BEN: TEPAT PUKUL 01.00.\nSEBELUM TIDUR,\nAKU MAU NULIS\xe2\x9c\x8d\xef\xb8\x8f.\nKALO BUNG KARNO BILANG:\nBERIKAN AKU 10 PEMUDA,MAKA AKAN KU GUNCANG DUN\xe2\x80\xa6'"
2022-08-09 01:31:57+00:00,🇬🇧🇫🇷🇯🇵 Penguin98Bot 🤖 VTuber FR Retweets 🔁,"b'RT @Tristan_Orville: Katanya sih game ini bikin kena mental + darah tinggi, kita buktiin nanti malam! \xf0\x9f\x94\xa5\njangan lupa dateng yaa~ \n\n\xe2\x8f\xb2\xef\xb8\x8f 20.00\xe2\x80\xa6'"
2022-08-09 00:53:27+00:00,luo shaochuan's 🧀🍓,"b'Keren sih\nXixi \xf0\x9f\xa7\x80 pas SD menang olimpiade, sekalinya nilai turun kena mental terus males belajar sampe SMA\nXixi \xf0\x9f\x8d\x93 pa\xe2\x80\xa6 https://t.co/1IyiG0245L'"
2022-08-08 20:23:05+00:00,santai tapi pasti,"b'RT @TheEagle_BEN: TEPAT PUKUL 01.00.\nSEBELUM TIDUR,\nAKU MAU NULIS\xe2\x9c\x8d\xef\xb8\x8f.\nKALO BUNG KARNO BILANG:\nBERIKAN AKU 10 PEMUDA,MAKA AKAN KU GUNCANG DUN\xe2\x80\xa6'"
